Full Name,Symbols
Hilton Food,HFG.L
Hiscox,HSX.L
Hochschild,HOC.L
Hogg Rob.,HRG.L
Homeserve,HSV.L
Howden Joinery,HWDN.L
Hsbc Hldgs.uk,HSBA.L
Hunting,HTG.L
Huntsworth,HNT.L
Icg-longbow,LBOW.L
Ig Group,IGG.L
Imi,IMI.L
Impax Env.mkt,IEM.L
Inchcape,INCH.L
Informa,INF.L
Inmarsat,ISAT.L
Int.biotech.,IBT.L
Int.cap.grp,ICP.L
Inter. Pers.,IPF.L
Intercon. Hotel,IHG.L
Interserve,IRV.L
Intertek Group,ITRK.L
Intl Consol Air,IAG.L
Intl Public,INPP.L
Intu Properties,INTU.L
Invesco Asia,IAT.L
Invesco Inc Gth,IVI.L
Invesco Perp Uk,IPU.L
Investec,INVP.L
Ip Group,IPO.L
Ite Grp.,ITE.L
Itv,ITV.L
Jardine Lloyd,JLT.L
Jd Sports,JD.L
Jkx Oil & Gas,JKX.L
John Laing Env,JLEN.L
John Laing Inf,JLIF.L
Johnson Matthey,JMAT.L
Johnston Press,JPR.L
Jp Morg.as,JAI.L
Jp Morg.chin,JMC.L
Jpmor Indian,JII.L
Jpmor. Jap.sml,JPS.L
Jpmor.amer.,JAM.L
Jpmorg.eur,JESC.L
Jpmorg.smaller,JMI.L
Jpmorgan Clav,JCH.L
Jpmorgan Emerg,JMG.L
Jpmorgan G,JETG.L
Jpmorgan Glbl,JGCI.L
Jpmorgan Glob,JEMI.L
Jpmorgan I,JETI.L
Jpmorgan Japan.,JFJ.L
Jpmorgan Mid,JMF.L
Jpmorgan Rus,JRS.L
Jupiter Euro.,JEO.L
Jupiter Fnd,JUP.L
Jupiter Us Sml,JUS.L
Just Eat,JE.L
Kaz Minerals,KAZ.L
Kcom Grp,KCOM.L
Keller Grp.,KLR.L
Kenmare Res.,KMR.L
Keystone It,KIT.L
Kier Group,KIE.L
Kingfisher,KGF.L
Laird,LRD.L
Lamprell,LAM.L
Lancashire,LRE.L
Land Secs.,LAND.L
Law.deb.corp,LWDB.L
Legal&gen.,LGEN.L
Liontrust A.m.,LIO.L
Lloyds Grp.,LLOY.L
Lms Capital,LMS.L
Lon.stk.exch,LSE.L
Londonmetric,LMP.L
Lonmin,LMI.L
Lookers,LOOK.L
Low & Bonar,LWB.L
Lowland Inv.,LWI.L
Lsl Prop,LSL.L
Macau Property,MPO.L
Majedie Inv.,MAJE.L
Man Group,EMG.L
Mangmnt.cons.gp,MMC.L
Marks & Sp.,MKS.L
Marshalls,MSLH.L
Marston's,MARS.L
Martin C.asia,MCP.L
Martin C.glbl,MNP.L
Mcbride,MCB.L
Mccoll's,MCLS.L
Mckay Secs.,MCKS.L
Mears Group,MER.L
Medicx Fund,MXF.L
Meggitt,MGGT.L
Melrose Ind,MRO.L
Menzies,j.L
Mercantile,MRC.L
Merchants Tst,MRCH.L
Merlin,MERL.L
Micro Focus,MCRO.L
Middlefield Prf,MCT.L
Millennium &Cop,MLC.L
Mitchells & But,MAB.L
Mitie Grp.,MTO.L
Mj Gleeson,GLE.L
Mondi,MNDI.L
Moneysup.,MONY.L
Monks Inv.tst.,MNKS.L
Montanaro,MTE.L
Montanaro Uk,MTU.L
Morgan Advanced,MGAM.L
Morgn Sindl Grp,MGNS.L
Morrison,Wm.L
Moss Bros.,MOSB.L
Mothercare,MTC.L
Mountview Est.,MTVW.L
Mucklow,A&j.L
Murray Inc.tst.,MUT.L
Murray Intl.tst,MYI.L
Nat.express,NEX.L
National Grid,NG.L
Nb Global,NBLS.L
Ncc Grp,NCC.L
Next,NXT.L
Nmc Health,NMC.L
Norcros,NXR.L
North American,NAIT.L
North Atl.smlr,NAS.L
Northgate,NTG.L
Nostrum Oil&gas,NOG.L
Ocado,OCDO.L
Old Mutual,OML.L
Onesavings,OSB.L
Ophir Energy,OPHR.L
Oxford Instrmnt,OXIG.L
P2p Global Inve,P2P.L
Pacific Assets,PAC.L
Pacific Horizon,PHI.L
Pantheon Int.,PIN.L
Paragon Grp.,PAG.L
Paypoint,PAY.L
Pearson,PSON.L
Pendragon,PDG.L
Pennon Group,PNN.L
Perptl.i&g.inv.,PLI.L
Persimmon,PSN.L
Personal Assets,PNL.L
Petra Diamonds,PDL.L
Petrofac,PFC.L
Petropavlovsk,POG.L
Pets At Home,PETS.L
Phoenix Grp,di.L
Photo-me Intl.,PHTM.L
Picton Prop,PCTN.L
Playtech,PTEC.L
Polar Cap Gbl,PCFT.L
Polar Cap Glbl,PCGH.L
Polar Cap.,PCT.L
